"Yr","Player","PlayerID","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
2021,"Marques Bolden","boldema01","C",22,"CLE",6,29,13.3,0.537,0,2.667,11.3,11.9,11.6,0,3.4,6.1,23.5,12.8,0,0,0,0.063,-3.4,0.6,-2.8,0
2021,"Jordan Bone","bonejo01","PG",23,"ORL",14,196,8.9,0.519,0.593,0,2,11,6.4,13.6,0.5,0,5.3,12.6,0.1,0.1,0.2,0.045,-2.6,-1.6,-4.2,-0.1
2021,"Isaac Bonga","bongais01","SF",21,"WAS",40,432,4,0.461,0.58,0.099,4.4,11.7,8.1,6.5,1.2,1.7,20.7,10.2,-0.4,0.4,0,-0.001,-5.6,-0.8,-6.4,-0.5
2021,"Devin Booker","bookede01","SG",24,"PHO",67,2270,19.2,0.587,0.288,0.305,1.7,12.1,7,20.6,1.2,0.6,12.4,32.7,2.9,2,4.9,0.104,1.4,-1.5,-0.1,1.1
2021,"Chris Boucher","bouchch01","C",28,"TOR",60,1453,21.9,0.634,0.42,0.345,8.5,22.5,15.3,6.9,1.2,7.6,6.7,20.5,4,2.1,6.1,0.201,2.8,0.1,2.9,1.8
2021,"Brian Bowen","bowenbr02","SF",22,"IND",6,15,1,0.338,0.25,0.25,0,21.6,10.8,0,0,0,0,12.6,0,0,0,-0.063,-8.2,-3.3,-11.5,0
2021,"Avery Bradley","bradlav01","SG",30,"TOT",27,602,6.3,0.487,0.591,0.088,1.4,9.1,5.2,10.8,1.7,0.5,13.6,14.9,-0.5,0.4,-0.1,-0.008,-4.9,-0.8,-5.7,-0.6
2021,"Tony Bradley","bradlto01","C",23,"TOT",42,684,20.7,0.678,0.015,0.279,13.3,24,18.6,8.5,1,3.9,13,15.8,1.8,1,2.7,0.192,1.1,0.1,1.2,0.6
2021,"Jarrell Brantley","brantja01","PF",24,"UTA",28,138,16.6,0.605,0.538,0.038,7.2,13.3,10.4,16.1,2.5,1.2,13.1,19,0.3,0.2,0.5,0.172,0.5,1.6,2.1,0.1
2021,"Ignas Brazdeikis","brazdig01","SF",22,"TOT",13,249,9.5,0.51,0.337,0.169,4.5,14.7,9.4,10.5,0.8,1.1,11.9,17.6,-0.1,0.1,0.1,0.016,-3.9,-1.8,-5.7,-0.2
